queue_id,num_people_waiting,queue_length,active_counters,avg_service_time,priority_customers,day_of_week,time_of_day,historical_queue_load,previous_waiting_time,actual_waiting_time
36,9,13,3,8.9,,Tuesday,22:37,4.0,14.0,21.7
37,7,13,4,6.7,2.0,Sunday,17:36,1.3,8.3,23.8
38,10,12,2,4.6,0.0,Friday,17:09,10.2,25.2,37.2
39,8,14,4,2.7,0.0,Thursday,11:48,9.9,1.3,6.9
40,13,23,6,8.4,0.0,Sunday,13:12,14.6,,25.0
41,7,13,4,13.6,0.0,Tuesday,16:24,5.5,16.3,31.8
42,7,11,3,9.5,0.0,Saturday,21:57,6.0,31.2,60.0
43,7,10,3,6.4,1.0,Friday,08:54,7.7,22.6,22.0
44,6,9,3,7.5,0.0,Wednesday,11:31,7.2,28.8,17.6
45,13,19,4,5.4,0.0,Tuesday,16:16,,17.5,24.3
46,6,10,3,8.9,1.0,Sunday,07:43,7.4,17.3,22.5
47,14,20,5,3.2,0.0,Friday,20:40,10.7,11.8,12.7
48,4,7,3,2.8,1.0,Saturday,02:50,4.0,13.3,3.3
49,6,10,3,5.3,0.0,Thursday,16:48,8.9,14.4,13.0
50,14,20,5,6.6,3.0,Saturday,17:44,10.1,13.6,38.6
51,4,9,3,2.0,0.0,Tuesday,22:20,8.4,27.3,5.0
52,8,14,5,2.0,0.0,Tuesday,11:27,6.3,1.6,4.7
53,6,10,3,6.3,0.0,Wednesday,05:01,5.9,13.4,11.4
54,13,18,3,7.8,0.0,Tuesday,11:46,5.3,21.2,45.4
55,5,11,5,7.3,0.0,Saturday,08:25,6.3,9.8,7.3
56,19,24,5,5.2,0.0,Saturday,17:10,14.6,0.5,29.0
57,7,11,4,11.7,0.0,Wednesday,19:05,,14.7,29.5
58,7,12,4,6.0,1.0,Friday,15:29,8.7,13.9,16.8
59,10,16,5,10.3,0.0,Friday,21:09,13.1,5.7,29.4
60,5,8,3,6.7,1.0,Saturday,09:38,5.9,19.4,17.7
61,3,8,5,7.9,0.0,Thursday,08:42,4.6,14.2,3.2
62,16,20,3,6.8,1.0,Sunday,12:56,,15.3,46.5
63,11,16,5,4.1,0.0,Wednesday,15:50,12.4,9.0,12.9
64,6,11,3,7.3,0.0,Thursday,17:23,9.2,27.7,18.4
65,10,14,4,5.2,2.0,Wednesday,10:57,4.7,8.0,19.4
66,10,14,4,8.8,1.0,Thursday,17:49,10.6,5.9,33.6
67,13,17,3,9.3,1.0,Thursday,21:43,11.1,23.3,51.1
68,10,14,3,8.8,1.0,Saturday,08:28,8.0,23.7,43.1
69,4,9,4,8.0,0.0,Thursday,15:00,8.8,20.6,12.8
70,13,18,5,,1.0,Sunday,10:27,5.5,2.9,15.9
71,6,9,3,7.9,1.0,Thursday,11:39,8.7,27.7,22.9
72,5,9,4,9.8,1.0,Monday,14:47,12.1,24.0,24.7
73,3,8,4,9.2,0.0,Monday,07:48,5.7,9.6,7.0
74,6,11,4,3.1,0.0,Monday,10:14,10.5,1.9,10.0
75,8,13,4,4.9,1.0,Friday,00:34,,0.0,11.7
76,6,9,2,8.4,0.0,Friday,08:12,7.8,31.6,32.2
77,8,14,3,8.9,1.0,Tuesday,15:36,10.3,21.1,40.3
78,15,21,4,8.9,0.0,Saturday,19:20,10.7,17.3,47.3
79,5,8,3,8.5,0.0,Sunday,19:48,7.4,15.2,15.3
80,9,14,4,5.9,1.0,Wednesday,07:32,,8.5,13.9
81,9,14,4,8.3,1.0,Wednesday,08:06,10.7,8.6,25.3
82,13,19,5,5.9,0.0,Wednesday,19:22,5.0,17.6,20.0
83,8,11,2,6.7,0.0,Thursday,12:30,9.3,32.9,42.3
84,6,11,5,11.4,0.0,Sunday,08:37,14.5,20.6,16.1
85,10,13,3,,0.0,Saturday,08:15,12.7,26.4,35.6
86,12,16,4,6.1,1.0,Monday,09:56,10.4,9.7,23.2
87,6,13,4,9.2,0.0,Monday,19:47,9.1,21.0,20.3
88,9,13,4,7.8,1.0,Thursday,12:31,12.9,27.0,32.8
89,7,11,3,7.0,0.0,Sunday,16:30,9.6,16.8,18.2
90,7,11,3,4.4,0.0,Monday,08:24,8.7,17.9,13.0
91,21,27,5,5.1,1.0,Wednesday,20:35,10.3,0.0,29.2
92,15,20,5,5.1,0.0,Monday,15:50,6.7,9.5,23.5
93,4,9,4,12.0,0.0,Tuesday,11:02,1.1,25.7,16.6
94,15,20,3,7.8,0.0,Wednesday,13:54,17.2,17.7,58.7
95,11,16,5,5.5,0.0,Sunday,17:26,8.3,0.0,15.2
96,5,11,5,5.8,0.0,Thursday,09:20,9.6,14.7,8.5
97,8,13,4,12.6,1.0,Friday,18:43,15.8,13.9,46.7
98,12,18,5,7.0,1.0,Thursday,18:19,14.0,13.8,27.0
99,11,15,4,6.4,0.0,Wednesday,16:50,11.0,2.4,-4.0
100,9,12,3,12.2,0.0,Monday,23:18,5.3,25.9,30.0
101,8,12,4,10.3,0.0,Tuesday,15:21,9.4,34.4,24.7
102,4,8,4,9.3,0.0,Sunday,08:11,7.4,8.9,9.6
103,3,9,3,6.3,0.0,Wednesday,06:21,5.3,8.8,4.9
104,11,17,5,5.9,0.0,Thursday,14:21,17.6,1.6,19.6
105,10,15,4,7.5,1.0,Saturday,20:22,12.4,7.0,28.3
106,4,10,4,4.7,1.0,Sunday,13:17,12.9,3.5,13.7
107,11,16,5,6.6,0.0,Thursday,18:52,13.6,15.9,21.9
108,3,7,3,7.7,0.0,Saturday,04:58,4.9,10.2,8.2
109,11,16,4,6.7,0.0,Thursday,20:21,6.9,0.0,26.2
110,13,18,4,5.0,0.0,Monday,11:21,12.4,4.7,20.5
111,5,10,4,11.5,1.0,Wednesday,15:29,9.0,28.5,29.7
112,4,9,4,10.8,0.0,Friday,10:02,5.2,9.4,14.6
113,6,13,5,11.4,,Saturday,12:58,12.8,25.0,32.9
114,9,16,5,5.6,1.0,Thursday,15:00,8.6,6.0,15.8
115,8,11,3,8.2,1.0,Monday,16:01,13.5,31.3,40.5
116,7,14,4,10.0,0.0,Sunday,08:38,8.5,13.7,16.8
117,7,11,4,8.8,0.0,Thursday,12:35,8.5,16.3,20.0
118,11,16,4,5.4,2.0,Wednesday,18:48,10.0,16.1,20.9
119,10,17,5,14.1,1.0,Wednesday,08:07,10.1,29.4,37.5
120,9,13,3,8.4,3.0,Tuesday,12:47,12.4,18.1,48.0
121,9,15,6,10.8,0.0,Tuesday,08:30,5.1,22.4,19.0
122,9,15,4,5.6,1.0,Wednesday,20:39,9.1,23.3,21.0
123,7,11,4,6.1,0.0,Thursday,19:09,10.7,7.3,15.7
124,6,11,4,8.0,0.0,Sunday,16:06,7.1,11.2,13.5
125,9,13,4,5.3,1.0,Monday,19:11,8.1,20.5,17.4
126,10,14,4,6.7,0.0,Friday,16:15,10.2,16.6,23.3
127,0,4,4,8.8,0.0,Sunday,23:15,2.7,16.3,1.1
128,5,10,3,7.3,0.0,Tuesday,20:06,5.7,31.4,18.6
129,9,15,4,7.0,0.0,Monday,15:58,8.2,12.4,23.6
130,7,12,3,4.3,0.0,Monday,08:36,9.3,8.4,14.9
131,6,10,2,5.5,1.0,Wednesday,18:25,9.2,13.5,23.6
132,8,14,4,6.7,0.0,Wednesday,09:11,6.3,7.6,15.3
133,7,14,5,5.1,1.0,Saturday,11:18,11.9,10.6,15.7
134,20,25,4,5.9,0.0,Tuesday,16:31,12.1,1.6,38.3
135,10,13,3,3.8,1.0,Sunday,16:48,10.3,13.2,17.6
136,8,12,3,3.8,0.0,Thursday,10:35,2.0,20.6,11.5
137,11,15,4,3.0,0.0,Tuesday,09:10,9.8,8.7,7.2
138,9,15,4,3.2,1.0,Thursday,09:31,4.7,0.9,10.5
139,9,14,4,8.6,1.0,Monday,11:37,8.6,24.6,34.6
140,6,11,3,10.5,1.0,Thursday,17:36,9.2,22.5,33.5
141,7,11,4,5.4,2.0,Monday,11:33,9.4,10.3,21.4
142,8,12,3,5.7,0.0,Friday,21:32,13.2,31.3,20.2
143,13,19,5,7.8,2.0,Wednesday,14:48,10.0,10.7,60.6
144,3,8,4,9.6,0.0,Saturday,00:46,7.5,21.3,9.2
145,9,12,3,4.6,0.0,Thursday,11:39,7.8,26.9,21.9
146,8,12,4,5.6,1.0,Monday,16:09,13.8,1.5,18.7
147,12,19,5,12.2,0.0,Monday,11:59,12.5,15.1,42.1
148,9,15,4,7.2,2.0,Tuesday,17:57,7.8,18.3,31.0
149,15,22,5,7.8,0.0,Monday,18:14,11.8,2.8,32.1
150,14,18,4,7.5,0.0,Tuesday,18:40,9.0,16.1,39.8
151,4,8,3,8.9,1.0,Sunday,20:31,4.5,26.4,25.1
152,9,15,3,6.0,2.0,Wednesday,17:27,8.7,15.5,31.1
153,8,11,3,8.2,0.0,Thursday,21:47,7.2,15.4,27.0
154,7,10,3,7.9,0.0,Saturday,09:19,14.3,24.9,24.8
155,25,31,6,10.2,2.0,Saturday,19:11,13.9,11.4,74.4
156,6,11,3,5.7,0.0,Friday,22:20,6.0,15.3,11.7
157,4,10,4,6.2,0.0,Friday,07:49,10.8,13.8,9.1
158,4,11,5,3.7,0.0,Thursday,17:39,8.0,6.0,3.4
159,11,16,5,5.8,0.0,Monday,15:38,10.7,17.6,-5.9
160,11,20,6,7.1,,Friday,07:04,9.3,6.5,15.9
161,9,14,3,5.6,0.0,Tuesday,08:29,9.4,15.3,21.3
162,9,15,5,7.7,2.0,Saturday,19:31,10.6,24.6,33.6
163,3,6,2,6.7,0.0,Tuesday,00:49,8.7,8.2,10.4
164,14,19,4,10.5,,Tuesday,20:45,6.8,23.2,46.7
165,9,14,4,9.8,1.0,Wednesday,16:26,12.6,12.2,34.0
166,8,14,4,5.5,0.0,Monday,09:12,11.4,18.7,14.5
167,9,14,4,8.3,0.0,Sunday,21:34,12.0,1.6,21.8
168,16,18,2,7.0,0.0,Saturday,14:40,7.6,38.0,85.6
169,5,9,2,5.8,1.0,Sunday,20:48,5.0,,20.2
170,7,11,4,,0.0,Thursday,14:03,5.0,20.5,18.6
171,9,13,4,4.3,1.0,Wednesday,15:46,7.8,10.4,16.0
172,11,20,5,7.4,1.0,Thursday,18:02,9.4,11.5,30.0
173,9,16,5,11.6,0.0,Thursday,15:15,6.6,26.4,29.7
174,10,14,2,8.2,0.0,Sunday,12:49,7.0,18.3,52.4
175,12,17,5,6.3,0.0,Thursday,16:41,10.4,11.4,20.5
176,11,14,3,6.7,0.0,Monday,17:54,7.4,25.5,36.4
177,10,16,3,12.1,0.0,Monday,09:21,13.4,39.5,50.9
178,3,6,3,5.1,2.0,Thursday,08:53,3.8,12.3,11.2
179,5,11,5,10.8,0.0,Wednesday,10:15,11.7,16.4,14.0
180,7,10,2,7.7,0.0,Tuesday,11:30,6.3,16.1,33.2
181,13,19,6,,2.0,Saturday,13:58,12.5,25.0,39.9
182,9,14,3,6.0,1.0,Sunday,13:00,7.7,19.9,27.0
183,11,17,5,8.7,2.0,Wednesday,21:53,7.5,17.5,29.3
184,9,13,4,8.8,0.0,Tuesday,09:28,,13.4,23.0
185,7,13,4,3.6,0.0,Wednesday,03:58,5.3,7.9,7.7
186,7,10,3,5.9,3.0,Monday,10:13,10.1,13.5,24.7
187,10,15,4,6.4,2.0,Monday,10:27,10.8,10.7,29.2
188,7,13,4,6.8,2.0,Tuesday,14:38,8.9,19.5,22.5
189,7,10,3,,1.0,Friday,17:19,11.0,19.4,29.3
190,16,20,4,5.1,1.0,Tuesday,18:47,14.2,7.2,33.2
191,8,10,2,6.3,0.0,Thursday,09:19,7.9,22.9,29.9
192,14,20,5,2.0,2.0,Saturday,18:27,9.9,0.0,10.9
193,5,12,4,8.6,0.0,Tuesday,07:57,6.4,23.0,8.0
194,8,12,4,6.1,2.0,Sunday,11:50,8.8,22.4,23.8
195,10,15,3,10.2,2.0,Saturday,08:51,6.5,25.0,56.0
196,6,9,3,9.6,0.0,Friday,10:26,9.2,22.5,27.0
197,1,3,2,4.9,0.0,Friday,14:55,2.4,22.7,3.7
198,8,13,3,6.9,1.0,Thursday,08:31,9.9,15.5,26.3
199,7,13,4,3.4,1.0,Sunday,17:49,12.0,0.0,11.7
200,3,9,4,9.7,0.0,Tuesday,13:31,7.1,24.2,13.8
201,15,18,3,5.4,1.0,Sunday,09:28,7.8,12.3,25.2
202,6,11,3,10.4,1.0,Monday,02:46,10.7,20.8,27.4
203,14,18,3,6.1,1.0,Monday,09:48,10.5,14.8,39.7
204,8,12,3,4.3,2.0,Wednesday,10:56,2.4,13.0,18.9
205,8,13,3,12.8,0.0,Thursday,17:23,7.5,27.5,45.8
206,8,12,4,8.4,1.0,Tuesday,15:01,11.0,19.7,27.9
207,12,14,2,4.1,1.0,Friday,15:50,10.1,19.3,35.2
208,4,9,2,7.1,0.0,Wednesday,14:26,11.1,33.7,19.8
209,9,14,3,5.5,1.0,Thursday,07:29,8.2,7.9,19.4
210,8,13,4,8.0,1.0,Saturday,17:17,10.0,25.7,28.7
211,4,11,3,8.3,0.0,Sunday,22:57,6.0,18.6,9.6
212,16,22,5,7.7,3.0,Monday,07:46,7.3,12.4,42.4
213,14,17,3,3.8,1.0,Friday,17:17,10.5,5.7,25.5
214,3,6,3,7.9,1.0,Saturday,15:14,,20.7,13.7
215,7,13,4,3.8,1.0,Thursday,12:04,12.6,6.6,12.8
216,6,10,1,3.8,1.0,Wednesday,21:13,8.3,17.6,22.0
217,11,17,5,,0.0,Friday,12:37,9.9,9.8,18.3
218,16,19,3,6.8,0.0,Saturday,09:55,6.6,17.6,46.0
219,13,19,6,5.2,0.0,Monday,08:20,8.8,7.7,14.7
220,11,15,4,4.4,2.0,Sunday,13:18,10.6,12.6,22.3
221,6,12,6,,1.0,Wednesday,16:37,7.7,0.0,4.8
222,4,9,3,7.7,3.0,Thursday,15:36,7.0,19.5,26.2
223,5,9,4,7.0,2.0,Saturday,10:27,11.8,5.2,22.3
224,5,9,4,6.4,0.0,Tuesday,01:10,10.7,,8.8
225,8,13,4,9.6,0.0,Thursday,16:35,7.9,15.8,26.3
226,11,15,4,6.4,2.0,Wednesday,13:43,15.3,22.4,36.4
227,4,8,4,5.3,1.0,Saturday,16:32,11.0,6.5,11.0
228,6,9,3,6.8,1.0,Sunday,15:41,5.4,14.7,18.0
229,4,10,4,6.4,1.0,Tuesday,15:50,2.4,,14.0
230,17,24,5,3.7,3.0,Saturday,15:42,12.1,8.7,25.9
231,5,10,2,13.1,0.0,Friday,20:06,7.4,54.2,52.2
232,13,18,4,2.9,2.0,Saturday,11:52,11.4,6.1,15.9
233,3,8,2,5.4,0.0,Sunday,23:17,0.0,15.3,6.5
234,6,9,2,9.3,0.0,Saturday,02:01,8.3,22.9,27.7
235,7,11,4,12.5,1.0,Friday,13:27,11.3,28.8,40.9
236,2,5,2,7.5,1.0,Tuesday,10:44,7.4,21.8,14.7
237,9,13,4,5.7,1.0,Saturday,13:02,9.9,22.6,24.9
238,13,17,4,2.0,0.0,Thursday,14:05,11.2,0.5,6.2
239,9,15,4,10.8,0.0,Thursday,22:10,6.3,13.1,23.6
240,15,20,4,6.9,1.0,Saturday,14:23,8.8,22.0,42.8
241,9,13,4,2.8,0.0,Friday,07:50,10.0,7.9,7.1
242,12,18,3,6.3,1.0,Saturday,20:31,,14.8,34.9
243,8,14,4,10.5,1.0,Sunday,19:43,13.9,19.5,38.2
244,6,8,2,8.5,1.0,Friday,15:16,9.1,38.3,41.5
245,9,14,4,7.7,0.0,Saturday,07:02,7.5,21.3,21.8
246,9,13,4,5.6,0.0,Sunday,09:25,6.5,10.4,16.0
247,16,21,4,7.9,1.0,Wednesday,09:23,10.4,11.7,34.2
248,7,12,4,4.8,1.0,Wednesday,16:51,7.0,12.7,10.9
249,6,10,4,7.6,0.0,Thursday,21:49,5.5,14.8,14.0
250,7,11,4,4.6,0.0,Sunday,08:37,5.8,3.5,4.3
251,15,21,5,7.6,1.0,Thursday,19:58,6.5,2.8,33.6
252,10,15,4,10.0,0.0,Saturday,08:06,7.8,14.9,31.1
253,5,11,3,3.9,0.0,Thursday,10:44,7.0,0.9,8.9
254,3,9,4,8.6,1.0,Sunday,09:42,7.1,20.6,9.3
255,9,12,3,8.3,1.0,Friday,10:08,13.4,19.7,36.0
256,10,13,3,9.8,0.0,Saturday,01:20,10.1,6.5,30.5
257,1,5,3,11.2,2.0,Sunday,20:09,8.8,17.9,14.3
258,5,9,4,8.2,0.0,Friday,08:32,5.6,15.0,14.8
259,11,15,4,6.8,3.0,Saturday,08:13,10.6,6.4,31.2
260,14,18,3,10.1,3.0,Sunday,16:23,10.6,20.8,71.2
261,12,18,5,9.1,1.0,Tuesday,23:02,6.6,7.2,17.9
262,3,6,3,10.5,0.0,Friday,06:40,6.0,23.2,7.6
263,7,12,4,5.6,0.0,Monday,11:39,10.7,13.4,13.7
264,11,15,4,7.4,0.0,Saturday,15:59,4.9,18.5,26.4
265,12,17,4,8.5,0.0,Saturday,11:19,12.5,17.7,39.7
266,6,14,5,2.0,3.0,Sunday,07:25,3.9,0.0,2.8
267,3,7,2,,0.0,Friday,03:34,11.1,33.8,18.6
268,4,7,3,10.3,0.0,Wednesday,04:15,5.0,22.2,10.4
269,11,16,4,10.8,1.0,Tuesday,15:17,7.6,20.6,40.5
270,11,16,4,7.0,1.0,Tuesday,07:13,4.1,12.7,24.8
271,8,14,5,17.6,0.0,Wednesday,17:16,10.3,15.1,38.1
272,10,18,5,4.4,1.0,Monday,17:31,10.6,15.4,18.9
273,6,11,4,5.4,1.0,Monday,09:30,10.8,12.9,15.4
274,11,15,4,5.8,2.0,Thursday,11:56,4.5,16.4,28.0
275,16,22,5,12.8,0.0,Saturday,12:42,13.2,33.7,63.9
276,7,15,5,6.6,0.0,Sunday,08:19,10.3,4.9,7.5
277,6,9,3,7.4,2.0,Saturday,21:18,11.6,20.2,28.8
278,9,10,1,5.4,0.0,Wednesday,14:17,1.9,22.6,87.4
279,12,16,3,5.6,1.0,Thursday,10:44,8.3,5.5,27.5
280,10,15,4,,,Monday,20:08,11.5,0.0,15.4
281,5,7,2,9.0,0.0,Monday,07:48,6.8,32.6,30.7
282,9,16,5,10.1,0.0,Monday,07:53,10.3,22.6,24.5
283,9,12,3,12.2,0.0,Monday,19:03,10.0,27.8,56.8
284,6,11,3,4.8,1.0,Monday,02:18,10.0,15.5,14.7
285,6,11,4,7.7,3.0,Tuesday,08:08,3.2,10.7,24.7
286,3,10,4,11.4,0.0,Sunday,11:17,2.4,34.8,10.8
287,6,11,3,7.7,1.0,Tuesday,08:12,7.0,14.9,22.0
288,9,11,2,,0.0,Friday,21:43,9.2,27.4,42.1
289,10,14,4,4.6,0.0,Saturday,20:04,7.5,3.3,17.8
290,5,7,2,6.2,0.0,Monday,10:13,6.5,17.4,20.2
291,7,12,4,6.1,0.0,Monday,16:44,3.7,3.2,14.4
292,10,15,5,8.4,1.0,Tuesday,15:05,8.7,16.6,26.0
293,12,16,4,9.5,0.0,Tuesday,17:12,8.8,15.1,38.2
294,8,13,3,9.4,0.0,Saturday,08:45,8.4,24.0,29.7
295,15,20,4,10.0,1.0,Sunday,18:19,7.6,19.6,54.5
296,10,14,3,9.9,2.0,Thursday,04:06,5.4,21.9,38.5
297,10,16,4,,2.0,Wednesday,19:56,9.3,27.7,42.0
298,15,19,4,9.1,0.0,Friday,13:03,13.8,9.3,50.5
299,5,11,6,8.1,0.0,Thursday,18:36,10.6,11.2,10.9
300,9,13,4,5.3,0.0,Wednesday,11:25,9.9,0.2,15.2
301,3,9,4,8.8,0.0,Sunday,21:13,6.7,23.5,10.7
302,16,22,5,9.6,0.0,Wednesday,18:11,11.2,8.1,35.9
303,13,22,5,5.2,2.0,Thursday,20:50,9.5,8.0,21.5
304,17,21,4,7.2,0.0,Saturday,14:36,6.3,17.0,45.3
305,7,10,2,7.7,0.0,Tuesday,11:30,6.3,16.1,33.2
306,10,17,5,4.5,1.0,Monday,07:51,9.9,1.0,12.8
307,6,11,3,7.7,0.0,Friday,22:11,7.1,11.3,11.2
308,4,8,3,5.6,1.0,Tuesday,19:20,7.7,10.8,13.3
309,11,14,3,10.9,1.0,Thursday,15:53,8.5,31.8,53.8
310,5,10,4,9.7,0.0,Monday,02:02,5.2,10.4,15.2
311,3,10,4,11.2,3.0,Thursday,05:44,6.9,23.0,24.5
312,5,8,3,3.2,1.0,Tuesday,01:52,7.0,6.4,6.8
313,5,10,4,9.8,0.0,Thursday,11:57,4.9,16.3,17.2
314,9,17,5,7.7,2.0,Monday,13:15,9.6,18.7,29.8
315,13,20,5,6.5,1.0,Monday,19:54,10.3,12.1,47.0
316,6,11,3,11.5,1.0,Tuesday,20:35,7.0,43.6,40.9
317,8,14,4,4.7,1.0,Thursday,10:37,8.7,13.7,16.8
318,13,18,4,7.1,1.0,Wednesday,07:08,5.8,12.6,26.6
319,17,20,2,6.4,2.0,Saturday,11:18,12.4,44.2,92.0
320,7,10,3,8.3,0.0,Monday,13:04,9.9,21.6,29.9
321,13,20,6,7.5,1.0,Monday,12:28,15.2,18.1,32.7
322,13,15,2,3.9,1.0,Tuesday,18:01,8.3,21.8,36.3
323,6,10,4,8.7,1.0,Wednesday,08:05,8.9,6.2,20.0
324,8,13,3,6.9,1.0,Thursday,08:31,9.9,15.5,26.3
325,11,19,6,3.1,0.0,Thursday,12:13,11.0,14.5,8.4
326,12,17,5,5.1,2.0,Monday,13:30,14.2,0.0,26.7
327,2,6,4,3.5,0.0,Thursday,10:04,7.4,1.9,1.7
328,8,12,4,3.0,0.0,Thursday,13:45,10.2,9.1,7.7
329,8,13,4,5.8,0.0,Tuesday,21:43,6.2,2.8,13.4
330,15,21,5,8.8,0.0,Monday,12:51,8.5,27.5,48.9
331,7,13,5,5.0,1.0,Wednesday,13:47,13.8,10.4,17.6
332,5,10,4,9.2,0.0,Sunday,21:06,7.9,16.9,12.5
333,10,17,5,2.9,0.0,Monday,11:36,8.4,3.3,4.2
334,4,9,4,5.8,0.0,Friday,21:26,10.0,6.4,11.0
335,5,10,4,2.4,1.0,Wednesday,19:10,10.0,7.1,7.8
336,7,9,2,7.9,0.0,Tuesday,08:13,6.6,19.3,31.5
337,14,22,6,9.8,0.0,Tuesday,13:09,10.0,22.4,36.4
338,10,17,5,5.0,0.0,Saturday,21:00,10.0,6.8,14.7
339,10,16,4,9.3,1.0,Saturday,17:29,11.8,25.2,41.9
340,15,19,4,8.4,1.0,Thursday,08:40,6.2,3.2,36.8
341,5,8,3,5.1,,Saturday,15:31,12.4,18.5,12.6
342,5,10,4,8.7,1.0,Saturday,12:12,,18.5,18.7
343,13,16,2,10.7,2.0,Tuesday,17:04,9.4,34.3,98.3
344,7,11,3,9.5,1.0,Monday,05:41,9.4,13.3,24.0
345,10,15,5,7.5,1.0,Friday,18:57,9.4,22.9,32.5
346,14,20,6,12.6,1.0,Monday,16:37,14.2,13.5,44.9
347,4,9,3,9.3,1.0,Monday,16:27,9.2,28.5,22.6
348,4,8,3,14.2,1.0,Thursday,09:19,8.8,20.6,30.9
349,12,18,4,8.9,1.0,Friday,17:49,9.4,15.9,42.4
350,5,9,3,3.0,0.0,Thursday,08:46,4.4,0.0,4.8
351,11,17,4,6.0,0.0,Thursday,05:18,5.4,10.6,13.7
352,3,7,3,9.5,0.0,Tuesday,03:13,1.9,12.2,6.7
353,15,22,5,,2.0,Wednesday,15:50,12.2,1.5,22.1
354,16,21,3,9.1,0.0,Wednesday,14:32,13.2,28.0,64.1
355,2,7,4,7.2,0.0,Monday,22:43,7.7,6.3,4.3
356,4,8,4,12.1,1.0,Sunday,17:16,12.0,18.8,21.7
357,8,14,4,4.8,3.0,Sunday,21:30,8.1,9.9,17.6
358,0,3,3,2.0,1.0,Wednesday,05:57,0.7,16.1,3.4
359,9,14,4,8.7,1.0,Wednesday,17:15,12.2,25.0,34.9
360,12,17,5,5.1,0.0,Tuesday,13:47,4.2,3.0,15.5
361,9,13,3,11.3,0.0,Sunday,12:35,7.5,21.0,42.4
362,16,19,1,4.4,0.0,Monday,16:44,11.8,51.7,103.7
363,7,11,4,,0.0,Wednesday,21:41,7.1,19.4,15.7
364,8,12,4,6.2,2.0,Sunday,18:24,9.0,11.5,23.2
365,6,8,2,2.5,2.0,Friday,07:45,9.0,14.3,13.8
366,9,15,5,10.7,1.0,Monday,14:35,13.5,15.8,32.2
367,7,10,3,9.4,1.0,Thursday,12:07,4.8,11.0,34.5
368,7,12,5,4.0,1.0,Wednesday,21:47,6.4,5.4,5.6
369,8,12,4,9.2,0.0,Sunday,13:00,9.2,25.5,22.5
370,11,15,3,6.2,0.0,Wednesday,18:20,3.7,28.2,31.3
371,7,12,5,6.9,0.0,Thursday,14:49,8.3,10.2,9.4
372,7,13,3,9.2,1.0,Sunday,07:40,8.6,16.2,22.9
373,13,20,6,7.4,3.0,Friday,20:56,16.0,15.8,32.0
374,9,14,4,6.2,0.0,Sunday,15:03,7.0,11.3,17.4
375,0,5,3,10.3,1.0,Monday,22:54,6.5,10.2,10.3
376,8,13,4,6.4,0.0,Tuesday,07:32,9.5,7.0,17.3
377,4,9,3,6.4,0.0,Wednesday,08:09,5.8,,11.0
